phase,block,id,short_id,game_type,points,drule,drule_error_2d,drule_error_1d_a,drule_error_1d_b,drule_error_1d,rewards_approached,punishment_approached,dataset,partner_predictions_correct,partner_predictions_missing,drule_gen
0,0,sim-777,sim-777,solo,0.0,neither,9.0,7.0,7.0,7.0,4,1,sim,,,neither
0,1,sim-777,sim-777,solo,3.0,neither,6.0,8.0,2.0,2.0,7,1,sim,,,neither
0,2,sim-777,sim-777,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,3,sim-777,sim-777,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,0,sim-777,sim-777,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,1,sim-777,sim-777,solo,9.0,1d_b,3.0,7.0,1.0,1.0,9,0,sim,,,1d
2,0,sim-777,sim-777,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,1,sim-777,sim-777,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,2,sim-777,sim-777,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,3,sim-777,sim-777,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
3,0,sim-777,sim-777,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
3,1,sim-777,sim-777,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,0,sim-508,sim-508,solo,7.0,neither,2.0,4.0,6.0,4.0,11,1,sim,,,neither
0,1,sim-508,sim-508,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
0,2,sim-508,sim-508,solo,8.0,2d,1.0,5.0,5.0,5.0,12,1,sim,,,2d
0,3,sim-508,sim-508,solo,8.0,2d,1.0,5.0,5.0,5.0,12,1,sim,,,2d
1,0,sim-508,sim-508,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
1,1,sim-508,sim-508,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
2,0,sim-508,sim-508,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
2,1,sim-508,sim-508,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
2,2,sim-508,sim-508,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
2,3,sim-508,sim-508,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
3,0,sim-508,sim-508,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
