dataset,bonus_points,external_aid,first_half_points,first_test_drule,first_test_drule_gen,first_test_points,game_type,id,partner_id,partner_judgement,partner_points,partner_predictions_correct,partner_rule,partner_short_id,points,second_half_points,second_test_drule,second_test_drule_gen,second_test_points,short_id,time_on_share_page,partner_rule_gen,partner_rule_rel
sim,,False,17,1d_b,1d,17,solo,sim-777,,,,,,,16,-1,1d_b,1d,16,sim-777,,,
sim,,False,24,2d,2d,24,solo,sim-508,,,,,,,24,0,2d,2d,24,sim-508,,,
sim,,False,16,1d_b,1d,16,solo,sim-896,,,,,,,16,0,1d_b,1d,16,sim-896,,,
sim,,False,16,1d_a,1d,16,solo,sim-923,,,,,,,16,0,1d_a,1d,16,sim-923,,,
sim,,False,16,1d_a,1d,16,solo,sim-034,,,,,,,17,1,1d_a,1d,17,sim-034,,,
sim,,False,16,2d,2d,16,solo,sim-484,,,,,,,24,8,2d,2d,24,sim-484,,,
sim,,False,17,1d_b,1d,17,solo,sim-086,,,,,,,24,7,2d,2d,24,sim-086,,,
sim,,False,16,1d_b,1d,16,solo,sim-751,,,,,,,16,0,1d_b,1d,16,sim-751,,,
sim,,False,16,1d_a,1d,16,solo,sim-355,,,,,,,24,8,2d,2d,24,sim-355,,,
sim,,False,24,2d,2d,24,solo,sim-524,,,,,,,24,0,2d,2d,24,sim-524,,,
sim,,False,16,1d_b,1d,16,solo,sim-185,,,,,,,16,0,1d_b,1d,16,sim-185,,,
sim,,False,24,2d,2d,24,solo,sim-810,,,,,,,24,0,2d,2d,24,sim-810,,,
sim,,False,16,1d_a,1d,16,solo,sim-419,,,,,,,20,4,2d,2d,20,sim-419,,,
sim,,False,16,1d_a,1d,16,solo,sim-616,,,,,,,17,1,1d_a,1d,17,sim-616,,,
sim,,False,16,1d_b,1d,16,solo,sim-683,,,,,,,17,1,1d_b,1d,17,sim-683,,,
sim,,False,16,1d_a,1d,16,solo,sim-502,,,,,,,16,0,1d_a,1d,16,sim-502,,,
sim,,False,16,1d_a,1d,16,solo,sim-761,,,,,,,16,0,1d_a,1d,16,sim-761,,,
sim,,False,16,1d_a,1d,16,solo,sim-050,,,,,,,16,0,1d_a,1d,16,sim-050,,,
sim,,False,19,neither,neither,19,solo,sim-733,,,,,,,24,5,2d,2d,24,sim-733,,,
sim,,False,16,1d_b,1d,16,solo,sim-337,,,,,,,8,-8,neither,neither,8,sim-337,,,
sim,,False,16,1d_b,1d,16,solo,sim-451,,,,,,,16,0,1d_b,1d,16,sim-451,,,
