dataset,condition,block,prop_2d,prop_neither,prop_1d,N,ci_2d_lower,ci_2d_upper,ci_1d_lower,ci_1d_upper,ci_neither_lower,ci_neither_upper
sim,first,0,0.012,0.956,0.032,1000,0.005,0.02,0.02,0.045,0.941,0.97
sim,first,1,0.15,0.383,0.467,1000,0.125,0.175,0.432,0.504,0.349,0.418
sim,first,2,0.241,0.112,0.647,1000,0.211,0.271,0.613,0.681,0.09,0.135
sim,first,3,0.297,0.058,0.645,1000,0.265,0.329,0.611,0.679,0.042,0.075
sim,first,4,0.305,0.058,0.637,1000,0.272,0.336,0.603,0.671,0.042,0.075
sim,first,5,0.304,0.056,0.64,1000,0.272,0.337,0.605,0.673,0.04,0.073
sim,2d,0,0.20754716981132076,0.46540880503144655,0.3270440251572327,159,0.13836477987421383,0.2830188679245283,0.24528301886792453,0.41509433962264153,0.37735849056603776,0.5534591194968553
sim,2d,1,0.7421383647798742,0.2578616352201258,0.0,159,0.660377358490566,0.8176100628930818,0.0,0.0,0.18238993710691823,0.33962264150943394
sim,2d,2,0.9811320754716981,0.018867924528301886,0.0,159,0.9559748427672956,1.0,0.0,0.0,0.0,0.0440251572327044
sim,2d,3,1.0,0.0,0.0,159,1.0,1.0,0.0,0.0,0.0,0.0
sim,2d,4,0.9308176100628931,0.06918238993710692,0.0,159,0.8805031446540881,0.9748427672955975,0.0,0.0,0.025157232704402517,0.11949685534591195
sim,2d,5,0.9559748427672956,0.0440251572327044,0.0,159,0.9182389937106918,0.9874213836477987,0.0,0.0,0.012578616352201259,0.08176100628930817
sim,other_1d,0,0.2830188679245283,0.4339622641509434,0.2830188679245283,159,0.20125786163522014,0.36477987421383645,0.20754716981132076,0.36477987421383645,0.34591194968553457,0.5220125786163522
sim,other_1d,1,0.7547169811320755,0.24528301886792453,0.0,159,0.6729559748427673,0.8301886792452831,0.0,0.0,0.16981132075471697,0.3270440251572327
sim,other_1d,2,0.9685534591194969,0.031446540880503145,0.0,159,0.9308176100628931,0.9937106918238994,0.0,0.0,0.006289308176100629,0.06918238993710692
sim,other_1d,3,0.9811320754716981,0.018867924528301886,0.0,159,0.9559748427672956,1.0,0.0,0.0,0.0,0.0440251572327044
sim,other_1d,4,0.9622641509433962,0.03773584905660377,0.0,159,0.9245283018867925,0.9937106918238994,0.0,0.0,0.006289308176100629,0.07547169811320754
sim,other_1d,5,0.949685534591195,0.050314465408805034,0.0,159,0.9056603773584906,0.9811320754716981,0.0,0.0,0.018867924528301886,0.09433962264150944
sim,asocial,0,0.019736842105263157,0.03289473684210526,0.9473684210526315,152,0.0,0.046052631578947366,0.9013157894736842,0.9802631578947368,0.006578947368421052,0.06578947368421052
sim,asocial,1,0.03289473684210526,0.046052631578947366,0.9210526315789473,152,0.006578947368421052,0.06578947368421052,0.868421052631579,0.9671052631578947,0.013157894736842105,0.08552631578947369
sim,asocial,2,0.07894736842105263,0.06578947368421052,0.8552631578947368,152,0.03289473684210526,0.13157894736842105,0.7894736842105263,0.9144736842105263,0.02631578947368421,0.1118421052631579
sim,asocial,3,0.17763157894736842,0.03289473684210526,0.7894736842105263,152,0.1118421052631579,0.25,0.7171052631578947,0.8618421052631579,0.006578947368421052,0.06578947368421052
sim,asocial,4,0.21052631578947367,0.019736842105263157,0.7697368421052632,152,0.13815789473684212,0.2894736842105263,0.6907894736842105,0.8421052631578947,0.0,0.046052631578947366
sim,asocial,5,0.21052631578947367,0.013157894736842105,0.7763157894736842,152,0.13815789473684212,0.2894736842105263,0.6973684210526315,0.8486842105263158,0.0,0.039473684210526314
1,first,0,0.013636363636363636,0.9045454545454545,0.08181818181818182,220,0.0,0.031818181818181815,0.045454545454545456,0.12727272727272726,0.8590909090909091,0.9454545454545454
1,first,1,0.09090909090909091,0.5545454545454546,0.35454545454545455,220,0.05,0.13636363636363635,0.2818181818181818,0.42727272727272725,0.4818181818181818,0.6318181818181818
1,first,2,0.1318181818181818,0.4590909090909091,0.4090909090909091,220,0.08181818181818182,0.18636363636363637,0.33181818181818185,0.4818181818181818,0.38181818181818183,0.5363636363636364
1,first,3,0.1409090909090909,0.39545454545454545,0.4636363636363636,220,0.09090909090909091,0.19545454545454546,0.38636363636363635,0.5409090909090909,0.32272727272727275,0.4681818181818182
1,first,4,0.16818181818181818,0.35,0.4818181818181818,220,0.11363636363636363,0.22727272727272727,0.40454545454545454,0.5545454545454546,0.2818181818181818,0.42272727272727273
1,first,5,0.15454545454545454,0.35,0.4954545454545455,220,0.10454545454545454,0.20909090909090908,0.42272727272727273,0.5681818181818182,0.2772727272727273,0.42272727272727273
1,2d,0,0.0,0.0,1.0,10,0.0,0.0,1.0,1.0,0.0,0.0
1,2d,1,0.0,0.1,0.9,10,0.0,0.0,0.6,1.0,0.0,0.4
1,2d,2,0.0,0.2,0.8,10,0.0,0.0,0.5,1.0,0.0,0.5
1,2d,3,0.0,0.0,1.0,10,0.0,0.0,1.0,1.0,0.0,0.0
1,2d,4,0.1,0.0,0.9,10,0.0,0.4,0.6,1.0,0.0,0.0
1,2d,5,0.1,0.0,0.9,10,0.0,0.3,0.7,1.0,0.0,0.0
1,other_1d,0,0.0,0.125,0.875,8,0.0,0.0,0.625,1.0,0.0,0.375
1,other_1d,1,0.0,0.0,1.0,8,0.0,0.0,1.0,1.0,0.0,0.0
1,other_1d,2,0.0,0.0,1.0,8,0.0,0.0,1.0,1.0,0.0,0.0
1,other_1d,3,0.0,0.0,1.0,8,0.0,0.0,1.0,1.0,0.0,0.0
1,other_1d,4,0.0,0.0,1.0,8,0.0,0.0,1.0,1.0,0.0,0.0
1,other_1d,5,0.0,0.0,1.0,8,0.0,0.0,1.0,1.0,0.0,0.0
1,asocial,0,0.0,0.03508771929824561,0.9649122807017544,57,0.0,0.0,0.8947368421052632,1.0,0.0,0.10526315789473684
1,asocial,1,0.0,0.05263157894736842,0.9473684210526315,57,0.0,0.0,0.8771929824561403,1.0,0.0,0.12280701754385964
1,asocial,2,0.017543859649122806,0.03508771929824561,0.9473684210526315,57,0.0,0.07017543859649122,0.8771929824561403,1.0,0.0,0.10526315789473684
1,asocial,3,0.017543859649122806,0.03508771929824561,0.9473684210526315,57,0.0,0.07017543859649122,0.8771929824561403,1.0,0.0,0.10526315789473684
1,asocial,4,0.017543859649122806,0.03508771929824561,0.9473684210526315,57,0.0,0.07017543859649122,0.8771929824561403,1.0,0.0,0.10526315789473684
1,asocial,5,0.03508771929824561,0.017543859649122806,0.9473684210526315,57,0.0,0.10526315789473684,0.8771929824561403,1.0,0.0,0.07017543859649122
2,first,0,0.005434782608695652,0.9293478260869565,0.06521739130434782,184,0.0,0.021739130434782608,0.02717391304347826,0.10869565217391304,0.8858695652173914,0.967391304347826
2,first,1,0.04891304347826087,0.6739130434782609,0.27717391304347827,184,0.016304347826086956,0.08695652173913043,0.20652173913043478,0.3532608695652174,0.592391304347826,0.75
2,first,2,0.10326086956521739,0.4891304347826087,0.4076086956521739,184,0.05434782608695652,0.15760869565217392,0.32608695652173914,0.4891304347826087,0.4076086956521739,0.5706521739130435
2,first,3,0.13043478260869565,0.44565217391304346,0.42391304347826086,184,0.07608695652173914,0.19021739130434784,0.3423913043478261,0.5054347826086957,0.3641304347826087,0.5271739130434783
2,first,4,0.11956521739130435,0.41304347826086957,0.4673913043478261,184,0.07065217391304347,0.17391304347826086,0.3858695652173913,0.5489130434782609,0.33152173913043476,0.4945652173913043
2,first,5,0.11956521739130435,0.3967391304347826,0.483695652173913,184,0.07065217391304347,0.1793478260869565,0.40217391304347827,0.5652853260869605,0.31521739130434784,0.4782608695652174
2,2d,0,0.037037037037037035,0.07407407407407407,0.8888888888888888,27,0.0,0.14814814814814814,0.7407407407407407,1.0,0.0,0.18518518518518517
2,2d,1,0.1111111111111111,0.18518518518518517,0.7037037037037037,27,0.0,0.25925925925925924,0.48148148148148145,0.8888888888888888,0.037037037037037035,0.37037037037037035
2,2d,2,0.2222222222222222,0.18518518518518517,0.5925925925925926,27,0.07407407407407407,0.4074074074074074,0.37037037037037035,0.8148148148148148,0.037037037037037035,0.37037037037037035
2,2d,3,0.2962962962962963,0.07407407407407407,0.6296296296296297,27,0.1111111111111111,0.48148148148148145,0.4074074074074074,0.8518518518518519,0.0,0.2222222222222222
2,2d,4,0.3333333333333333,0.1111111111111111,0.5555555555555556,27,0.14814814814814814,0.5555555555555556,0.3333333333333333,0.7777777777777778,0.0,0.25925925925925924
2,2d,5,0.2962962962962963,0.07407407407407407,0.6296296296296297,27,0.1111111111111111,0.5185185185185185,0.4074074074074074,0.8148148148148148,0.0,0.2222222222222222
2,other_1d,0,0.0,0.16666666666666666,0.8333333333333334,24,0.0,0.0,0.6666666666666666,1.0,0.0,0.3333333333333333
2,other_1d,1,0.041666666666666664,0.08333333333333333,0.875,24,0.0,0.16666666666666666,0.7083333333333334,1.0,0.0,0.20833333333333334
2,other_1d,2,0.08333333333333333,0.08333333333333333,0.8333333333333334,24,0.0,0.25,0.6666666666666666,0.9583333333333334,0.0,0.20833333333333334
2,other_1d,3,0.08333333333333333,0.08333333333333333,0.8333333333333334,24,0.0,0.20833333333333334,0.6666666666666666,1.0,0.0,0.20833333333333334
2,other_1d,4,0.08333333333333333,0.08333333333333333,0.8333333333333334,24,0.0,0.25,0.6666666666666666,0.9583333333333334,0.0,0.20833333333333334
