phase,block,id,short_id,game_type,points,drule,drule_error_2d,drule_error_1d_a,drule_error_1d_b,drule_error_1d,rewards_approached,punishment_approached
0,0,sim-777,sim-777,solo,0,neither,9.0,7.0,7.0,7.0,4,1
0,1,sim-777,sim-777,solo,3,neither,6.0,8.0,2.0,2.0,7,1
0,2,sim-777,sim-777,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
0,3,sim-777,sim-777,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
1,0,sim-777,sim-777,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
1,1,sim-777,sim-777,solo,9,1d_b,3.0,7.0,1.0,1.0,9,0
2,0,sim-777,sim-777,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
2,1,sim-777,sim-777,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
2,2,sim-777,sim-777,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
2,3,sim-777,sim-777,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
3,0,sim-777,sim-777,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
3,1,sim-777,sim-777,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
0,0,sim-508,sim-508,solo,7,neither,2.0,4.0,6.0,4.0,11,1
0,1,sim-508,sim-508,solo,12,2d,0.0,4.0,4.0,4.0,12,0
0,2,sim-508,sim-508,solo,8,2d,1.0,5.0,5.0,5.0,12,1
0,3,sim-508,sim-508,solo,8,2d,1.0,5.0,5.0,5.0,12,1
1,0,sim-508,sim-508,solo,12,2d,0.0,4.0,4.0,4.0,12,0
1,1,sim-508,sim-508,solo,12,2d,0.0,4.0,4.0,4.0,12,0
2,0,sim-508,sim-508,solo,12,2d,0.0,4.0,4.0,4.0,12,0
2,1,sim-508,sim-508,solo,12,2d,0.0,4.0,4.0,4.0,12,0
2,2,sim-508,sim-508,solo,12,2d,0.0,4.0,4.0,4.0,12,0
2,3,sim-508,sim-508,solo,12,2d,0.0,4.0,4.0,4.0,12,0
3,0,sim-508,sim-508,solo,12,2d,0.0,4.0,4.0,4.0,12,0
3,1,sim-508,sim-508,solo,12,2d,0.0,4.0,4.0,4.0,12,0
0,0,sim-896,sim-896,solo,-1,neither,7.0,11.0,3.0,3.0,7,2
0,1,sim-896,sim-896,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
0,2,sim-896,sim-896,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
0,3,sim-896,sim-896,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
1,0,sim-896,sim-896,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
1,1,sim-896,sim-896,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
2,0,sim-896,sim-896,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
2,1,sim-896,sim-896,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
2,2,sim-896,sim-896,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
2,3,sim-896,sim-896,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
3,0,sim-896,sim-896,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
3,1,sim-896,sim-896,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
0,0,sim-923,sim-923,solo,2,neither,4.0,4.0,8.0,4.0,10,2
0,1,sim-923,sim-923,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
0,2,sim-923,sim-923,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
0,3,sim-923,sim-923,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
1,0,sim-923,sim-923,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
1,1,sim-923,sim-923,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
2,0,sim-923,sim-923,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
2,1,sim-923,sim-923,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
2,2,sim-923,sim-923,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
2,3,sim-923,sim-923,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
3,0,sim-923,sim-923,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
3,1,sim-923,sim-923,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
0,0,sim-034,sim-034,solo,5,neither,4.0,2.0,8.0,2.0,9,1
0,1,sim-034,sim-034,solo,5,neither,4.0,2.0,8.0,2.0,9,1
0,2,sim-034,sim-034,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
0,3,sim-034,sim-034,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
1,0,sim-034,sim-034,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
1,1,sim-034,sim-034,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
2,0,sim-034,sim-034,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
2,1,sim-034,sim-034,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
2,2,sim-034,sim-034,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
2,3,sim-034,sim-034,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
3,0,sim-034,sim-034,solo,9,1d_a,3.0,1.0,7.0,1.0,9,0
3,1,sim-034,sim-034,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
0,0,sim-484,sim-484,solo,-2,neither,11.0,7.0,9.0,7.0,2,1
0,1,sim-484,sim-484,solo,9,neither,3.0,3.0,5.0,3.0,9,0
0,2,sim-484,sim-484,solo,8,2d,1.0,5.0,5.0,5.0,12,1
0,3,sim-484,sim-484,solo,12,2d,0.0,4.0,4.0,4.0,12,0
1,0,sim-484,sim-484,solo,8,2d,1.0,5.0,5.0,5.0,12,1
1,1,sim-484,sim-484,solo,8,2d,1.0,5.0,5.0,5.0,12,1
2,0,sim-484,sim-484,solo,8,2d,1.0,5.0,5.0,5.0,12,1
2,1,sim-484,sim-484,solo,12,2d,0.0,4.0,4.0,4.0,12,0
2,2,sim-484,sim-484,solo,12,2d,0.0,4.0,4.0,4.0,12,0
2,3,sim-484,sim-484,solo,12,2d,0.0,4.0,4.0,4.0,12,0
3,0,sim-484,sim-484,solo,12,2d,0.0,4.0,4.0,4.0,12,0
3,1,sim-484,sim-484,solo,12,2d,0.0,4.0,4.0,4.0,12,0
0,0,sim-086,sim-086,solo,-1,neither,10.0,10.0,8.0,8.0,3,1
0,1,sim-086,sim-086,solo,4,neither,5.0,9.0,3.0,3.0,8,1
0,2,sim-086,sim-086,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
0,3,sim-086,sim-086,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
1,0,sim-086,sim-086,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
1,1,sim-086,sim-086,solo,9,1d_b,3.0,7.0,1.0,1.0,9,0
2,0,sim-086,sim-086,solo,10,neither,2.0,6.0,2.0,2.0,10,0
2,1,sim-086,sim-086,solo,7,neither,2.0,6.0,4.0,4.0,11,1
2,2,sim-086,sim-086,solo,8,2d,1.0,5.0,5.0,5.0,12,1
2,3,sim-086,sim-086,solo,12,2d,0.0,4.0,4.0,4.0,12,0
3,0,sim-086,sim-086,solo,12,2d,0.0,4.0,4.0,4.0,12,0
3,1,sim-086,sim-086,solo,12,2d,0.0,4.0,4.0,4.0,12,0
0,0,sim-751,sim-751,solo,1,neither,8.0,8.0,4.0,4.0,5,1
0,1,sim-751,sim-751,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
0,2,sim-751,sim-751,solo,4,1d_b,5.0,9.0,1.0,1.0,8,1
0,3,sim-751,sim-751,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
1,0,sim-751,sim-751,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
1,1,sim-751,sim-751,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
2,0,sim-751,sim-751,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
2,1,sim-751,sim-751,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
2,2,sim-751,sim-751,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
2,3,sim-751,sim-751,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
3,0,sim-751,sim-751,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
3,1,sim-751,sim-751,solo,8,1d_b,4.0,8.0,0.0,0.0,8,0
0,0,sim-355,sim-355,solo,4,neither,5.0,5.0,7.0,5.0,8,1
0,1,sim-355,sim-355,solo,5,neither,4.0,2.0,8.0,2.0,9,1
0,2,sim-355,sim-355,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
0,3,sim-355,sim-355,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
1,0,sim-355,sim-355,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
1,1,sim-355,sim-355,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
2,0,sim-355,sim-355,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
2,1,sim-355,sim-355,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
2,2,sim-355,sim-355,solo,8,1d_a,4.0,0.0,8.0,0.0,8,0
2,3,sim-355,sim-355,solo,9,1d_a,3.0,1.0,7.0,1.0,9,0
3,0,sim-355,sim-355,solo,12,2d,0.0,4.0,4.0,4.0,12,0
3,1,sim-355,sim-355,solo,12,2d,0.0,4.0,4.0,4.0,12,0
0,0,sim-524,sim-524,solo,-2,neither,11.0,11.0,7.0,7.0,2,1
0,1,sim-524,sim-524,solo,3,neither,6.0,6.0,6.0,6.0,7,1
0,2,sim-524,sim-524,solo,12,2d,0.0,4.0,4.0,4.0,12,0
0,3,sim-524,sim-524,solo,8,2d,1.0,5.0,5.0,5.0,12,1
1,0,sim-524,sim-524,solo,12,2d,0.0,4.0,4.0,4.0,12,0
1,1,sim-524,sim-524,solo,12,2d,0.0,4.0,4.0,4.0,12,0
2,0,sim-524,sim-524,solo,12,2d,0.0,4.0,4.0,4.0,12,0
2,1,sim-524,sim-524,solo,8,2d,1.0,5.0,5.0,5.0,12,1
2,2,sim-524,sim-524,solo,12,2d,0.0,4.0,4.0,4.0,12,0
