id,short_id,external_aid,game_type,points,first_test_points,second_test_points,first_half_points,second_half_points,partner_rule,first_test_drule,first_test_drule_gen,second_test_drule,second_test_drule_gen
sim-777,sim-777,False,solo,16,17,16,17,-1,,1d_b,1d,1d_b,1d
sim-508,sim-508,False,solo,24,24,24,24,0,,2d,2d,2d,2d
sim-896,sim-896,False,solo,16,16,16,16,0,,1d_b,1d,1d_b,1d
sim-923,sim-923,False,solo,16,16,16,16,0,,1d_a,1d,1d_a,1d
sim-034,sim-034,False,solo,17,16,17,16,1,,1d_a,1d,1d_a,1d
sim-484,sim-484,False,solo,24,16,24,16,8,,2d,2d,2d,2d
sim-086,sim-086,False,solo,24,17,24,17,7,,1d_b,1d,2d,2d
sim-751,sim-751,False,solo,16,16,16,16,0,,1d_b,1d,1d_b,1d
sim-355,sim-355,False,solo,24,16,24,16,8,,1d_a,1d,2d,2d
sim-524,sim-524,False,solo,24,24,24,24,0,,2d,2d,2d,2d
sim-185,sim-185,False,solo,16,16,16,16,0,,1d_b,1d,1d_b,1d
sim-810,sim-810,False,solo,24,24,24,24,0,,2d,2d,2d,2d
sim-419,sim-419,False,solo,20,16,20,16,4,,1d_a,1d,2d,2d
sim-616,sim-616,False,solo,17,16,17,16,1,,1d_a,1d,1d_a,1d
sim-683,sim-683,False,solo,17,16,17,16,1,,1d_b,1d,1d_b,1d
sim-502,sim-502,False,solo,16,16,16,16,0,,1d_a,1d,1d_a,1d
sim-761,sim-761,False,solo,16,16,16,16,0,,1d_a,1d,1d_a,1d
sim-050,sim-050,False,solo,16,16,16,16,0,,1d_a,1d,1d_a,1d
sim-733,sim-733,False,solo,24,19,24,19,5,,neither,neither,2d,2d
sim-337,sim-337,False,solo,8,16,8,16,-8,,1d_b,1d,neither,neither
sim-451,sim-451,False,solo,16,16,16,16,0,,1d_b,1d,1d_b,1d
sim-791,sim-791,False,solo,16,16,16,16,0,,1d_b,1d,1d_b,1d
sim-351,sim-351,False,solo,24,24,24,24,0,,2d,2d,2d,2d
sim-468,sim-468,False,solo,24,16,24,16,8,,2d,2d,2d,2d
sim-623,sim-623,False,solo,24,-8,24,-8,32,,neither,neither,2d,2d
sim-477,sim-477,False,solo,24,-5,24,-5,29,,neither,neither,2d,2d
sim-615,sim-615,False,solo,16,16,16,16,0,,1d_b,1d,1d_b,1d
sim-555,sim-555,False,solo,16,24,16,24,-8,,2d,2d,2d,2d
sim-366,sim-366,False,solo,16,16,16,16,0,,1d_b,1d,1d_b,1d
sim-771,sim-771,False,solo,-8,16,-8,16,-24,,2d,2d,neither,neither
sim-631,sim-631,False,solo,24,24,24,24,0,,2d,2d,2d,2d
sim-941,sim-941,False,solo,24,-4,24,-4,28,,neither,neither,2d,2d
sim-798,sim-798,False,solo,16,16,16,16,0,,1d_b,1d,1d_b,1d
sim-497,sim-497,False,solo,24,24,24,24,0,,2d,2d,2d,2d
sim-925,sim-925,False,solo,24,24,24,24,0,,2d,2d,2d,2d
sim-370,sim-370,False,solo,24,24,24,24,0,,2d,2d,2d,2d
sim-597,sim-597,False,solo,16,16,16,16,0,,1d_a,1d,1d_a,1d
sim-721,sim-721,False,solo,24,24,24,24,0,,2d,2d,2d,2d
sim-054,sim-054,False,solo,16,17,16,17,-1,,1d_a,1d,1d_a,1d
sim-427,sim-427,False,solo,24,12,24,12,12,,1d_b,1d,2d,2d
sim-057,sim-057,False,solo,16,16,16,16,0,,1d_b,1d,1d_b,1d
sim-265,sim-265,False,solo,24,24,24,24,0,,2d,2d,2d,2d
sim-773,sim-773,False,solo,24,-4,24,-4,28,,neither,neither,2d,2d
sim-186,sim-186,False,solo,24,20,24,20,4,,2d,2d,2d,2d
sim-467,sim-467,False,solo,24,24,24,24,0,,2d,2d,2d,2d
sim-790,sim-790,False,solo,24,19,24,19,5,,neither,neither,2d,2d
sim-175,sim-175,False,solo,24,24,24,24,0,,2d,2d,2d,2d
sim-151,sim-151,False,solo,24,24,24,24,0,,2d,2d,2d,2d
